Date,Open,High,Low,Close,Adj Close,Volume
2020-12-21,38300.000000,38350.000000,37800.000000,38200.000000,36302.484375,273467
2020-12-22,38000.000000,38150.000000,37200.000000,37250.000000,35399.671875,299262
2020-12-23,37300.000000,37550.000000,36750.000000,36800.000000,34972.027344,341470
2020-12-24,37000.000000,37500.000000,37000.000000,37500.000000,35637.253906,244796
2020-12-28,37700.000000,38300.000000,37550.000000,38250.000000,36350.000000,617132
2020-12-29,37650.000000,37700.000000,37100.000000,37300.000000,37300.000000,411524
2020-12-30,37350.000000,37800.000000,37150.000000,37550.000000,37550.000000,247385
2021-01-04,37700.000000,38300.000000,37250.000000,37800.000000,37800.000000,546430
2021-01-05,37800.000000,38100.000000,37350.000000,37950.000000,37950.000000,535413
2021-01-06,39100.000000,40000.000000,38150.000000,38300.000000,38300.000000,1256359
2021-01-07,39150.000000,39900.000000,38650.000000,39500.000000,39500.000000,1051918
2021-01-08,40100.000000,41700.000000,39600.000000,41600.000000,41600.000000,1207880
2021-01-11,41700.000000,41750.000000,39200.000000,39900.000000,39900.000000,1005777
2021-01-12,39900.000000,40700.000000,39350.000000,40050.000000,40050.000000,697899
2021-01-13,40600.000000,40750.000000,39800.000000,40050.000000,40050.000000,453493
2021-01-14,40100.000000,40900.000000,39900.000000,40550.000000,40550.000000,580596
2021-01-15,41000.000000,41250.000000,39750.000000,39750.000000,39750.000000,519877
2021-01-18,39500.000000,39750.000000,38200.000000,38300.000000,38300.000000,480619
2021-01-19,38600.000000,39000.000000,38400.000000,38650.000000,38650.000000,342269
2021-01-20,39000.000000,39000.000000,38100.000000,38750.000000,38750.000000,321105
2021-01-21,38900.000000,39800.000000,38850.000000,39750.000000,39750.000000,368396
2021-01-22,39850.000000,39900.000000,39050.000000,39050.000000,39050.000000,359488
2021-01-25,39050.000000,39050.000000,38500.000000,38850.000000,38850.000000,325524
2021-01-26,38900.000000,38950.000000,38100.000000,38100.000000,38100.000000,440774
2021-01-27,38100.000000,38450.000000,37800.000000,37900.000000,37900.000000,262892
2021-01-28,37350.000000,37600.000000,36950.000000,36950.000000,36950.000000,307782
2021-01-29,37100.000000,37250.000000,35800.000000,36250.000000,36250.000000,430139
2021-02-01,36250.000000,37450.000000,36250.000000,37300.000000,37300.000000,257825
2021-02-02,37450.000000,38250.000000,37300.000000,38100.000000,38100.000000,229784
2021-02-03,38400.000000,38500.000000,37500.000000,37950.000000,37950.000000,293470
2021-02-04,38200.000000,38500.000000,37250.000000,37500.000000,37500.000000,405657
2021-02-05,37750.000000,38050.000000,37250.000000,38050.000000,38050.000000,326299
2021-02-08,38350.000000,39200.000000,38350.000000,38900.000000,38900.000000,530429
2021-02-09,39550.000000,40200.000000,38900.000000,38900.000000,38900.000000,671778
2021-02-10,39050.000000,39350.000000,38550.000000,38800.000000,38800.000000,382102
2021-02-15,39900.000000,40600.000000,39650.000000,39950.000000,39950.000000,602603
2021-02-16,40300.000000,40450.000000,39700.000000,40200.000000,40200.000000,340418
2021-02-17,40250.000000,40950.000000,39700.000000,40950.000000,40950.000000,681711
2021-02-18,41400.000000,41650.000000,39750.000000,39750.000000,39750.000000,646146
2021-02-19,39900.000000,40050.000000,38250.000000,38950.000000,38950.000000,593656
2021-02-22,39550.000000,41250.000000,39400.000000,41000.000000,41000.000000,922640
2021-02-23,41400.000000,42050.000000,40650.000000,41300.000000,41300.000000,946681
2021-02-24,41450.000000,41700.000000,39500.000000,39500.000000,39500.000000,720116
2021-02-25,40500.000000,40500.000000,39850.000000,39950.000000,39950.000000,476087
2021-02-26,39000.000000,39400.000000,38550.000000,39000.000000,39000.000000,607906
2021-03-02,39800.000000,39850.000000,38300.000000,38500.000000,38500.000000,573951
2021-03-03,38400.000000,39100.000000,38300.000000,39100.000000,39100.000000,297223
2021-03-04,38900.000000,39500.000000,38600.000000,38850.000000,38850.000000,342738
2021-03-05,39000.000000,39450.000000,38350.000000,38550.000000,38550.000000,451865
2021-03-08,39100.000000,40450.000000,38850.000000,39800.000000,39800.000000,697194
2021-03-09,40100.000000,40100.000000,38800.000000,39150.000000,39150.000000,478170
2021-03-10,39200.000000,39400.000000,38450.000000,38650.000000,38650.000000,319693
2021-03-11,38700.000000,39500.000000,38600.000000,39150.000000,39150.000000,375572
2021-03-12,39700.000000,40000.000000,39350.000000,40000.000000,40000.000000,338733
2021-03-15,40100.000000,40350.000000,39700.000000,40300.000000,40300.000000,315527
2021-03-16,40400.000000,40700.000000,40000.000000,40550.000000,40550.000000,290382
2021-03-17,40450.000000,40500.000000,39850.000000,40100.000000,40100.000000,209921
2021-03-18,40400.000000,40400.000000,39500.000000,39800.000000,39800.000000,353770
2021-03-19,38900.000000,39250.000000,38800.000000,38900.000000,38900.000000,422309
2021-03-22,39200.000000,39300.000000,38900.000000,39250.000000,39250.000000,182279
2021-03-23,39500.000000,39650.000000,38700.000000,38700.000000,38700.000000,328814
2021-03-24,38150.000000,38800.000000,38150.000000,38650.000000,38650.000000,290906
2021-03-25,38850.000000,39050.000000,38650.000000,38950.000000,38950.000000,230318
2021-03-26,39000.000000,39000.000000,38750.000000,38950.000000,38950.000000,264184
2021-03-29,39050.000000,39050.000000,38800.000000,38850.000000,38850.000000,258130
2021-03-30,38900.000000,39400.000000,38850.000000,39050.000000,39050.000000,243727
2021-03-31,39000.000000,39200.000000,38950.000000,39100.000000,39100.000000,240234
2021-04-01,39100.000000,39350.000000,38950.000000,39200.000000,39200.000000,216954
2021-04-02,39450.000000,39450.000000,39100.000000,39250.000000,39250.000000,173274
2021-04-05,39000.000000,39050.000000,38750.000000,38900.000000,38900.000000,208245
2021-04-06,38850.000000,38900.000000,38600.000000,38750.000000,38750.000000,181773
2021-04-07,38800.000000,39100.000000,38750.000000,38900.000000,38900.000000,187301
2021-04-08,39000.000000,39250.000000,38800.000000,39050.000000,39050.000000,276554
2021-04-09,39100.000000,39100.000000,38850.000000,38900.000000,38900.000000,228170
2021-04-12,38950.000000,39100.000000,38750.000000,39050.000000,39050.000000,191841
2021-04-13,39050.000000,39200.000000,38950.000000,39050.000000,39050.000000,387828
2021-04-14,39050.000000,41350.000000,39050.000000,40650.000000,40650.000000,1300171
2021-04-15,40700.000000,41500.000000,40500.000000,41400.000000,41400.000000,656297
2021-04-16,41500.000000,41800.000000,40850.000000,41650.000000,41650.000000,414493
2021-04-19,41450.000000,41500.000000,40800.000000,41050.000000,41050.000000,337413
2021-04-20,41050.000000,41700.000000,40850.000000,41450.000000,41450.000000,350520
2021-04-21,41400.000000,42900.000000,40900.000000,42750.000000,42750.000000,727935
2021-04-22,42900.000000,43250.000000,42300.000000,42350.000000,42350.000000,382688
2021-04-23,42200.000000,42750.000000,41750.000000,42250.000000,42250.000000,246052
2021-04-26,42400.000000,44650.000000,42300.000000,44400.000000,44400.000000,876231
2021-04-27,44350.000000,44650.000000,43700.000000,44450.000000,44450.000000,431792
2021-04-28,44600.000000,45500.000000,43950.000000,44900.000000,44900.000000,712234
2021-04-29,45100.000000,45250.000000,43950.000000,44250.000000,44250.000000,338606
2021-04-30,44600.000000,44600.000000,43050.000000,43050.000000,43050.000000,566370
2021-05-03,42900.000000,44400.000000,42250.000000,43450.000000,43450.000000,449267
2021-05-04,43850.000000,43850.000000,42350.000000,43000.000000,43000.000000,405784
2021-05-06,43200.000000,46750.000000,43150.000000,46650.000000,46650.000000,1045093
2021-05-07,46800.000000,46900.000000,46100.000000,46700.000000,46700.000000,412238
2021-05-10,46850.000000,49600.000000,46650.000000,49300.000000,49300.000000,1258898
2021-05-11,49450.000000,50300.000000,48300.000000,50000.000000,50000.000000,1185306
2021-05-12,49200.000000,49500.000000,47100.000000,47650.000000,47650.000000,939668
2021-05-13,47100.000000,49350.000000,47000.000000,47700.000000,47700.000000,856425
2021-05-14,47950.000000,48550.000000,47600.000000,48250.000000,48250.000000,342821
2021-05-17,48600.000000,48650.000000,47050.000000,47650.000000,47650.000000,422489
2021-05-18,48100.000000,49800.000000,47850.000000,49100.000000,49100.000000,606491
2021-05-20,48100.000000,48400.000000,46350.000000,46900.000000,46900.000000,719198
2021-05-21,46850.000000,46900.000000,45250.000000,46150.000000,46150.000000,579870
2021-05-24,46250.000000,46550.000000,45850.000000,46050.000000,46050.000000,232423
2021-05-25,46550.000000,46950.000000,46300.000000,46700.000000,46700.000000,312797
2021-05-26,46800.000000,47200.000000,46250.000000,46850.000000,46850.000000,271744
2021-05-27,47000.000000,47100.000000,45550.000000,45800.000000,45800.000000,765346
2021-05-28,46050.000000,46450.000000,45900.000000,46250.000000,46250.000000,256605
2021-05-31,46400.000000,46450.000000,45600.000000,46100.000000,46100.000000,257700
2021-06-01,46250.000000,48550.000000,46250.000000,48050.000000,48050.000000,595903
2021-06-02,48450.000000,48450.000000,47650.000000,48300.000000,48300.000000,373988
2021-06-03,48550.000000,49350.000000,47850.000000,48050.000000,48050.000000,390816
2021-06-04,47600.000000,47850.000000,47150.000000,47350.000000,47350.000000,272492
2021-06-07,47800.000000,47800.000000,46900.000000,47400.000000,47400.000000,231158
2021-06-08,47400.000000,48200.000000,47050.000000,47650.000000,47650.000000,318334
2021-06-09,47950.000000,48300.000000,47500.000000,47750.000000,47750.000000,279669
2021-06-10,47600.000000,47800.000000,47300.000000,47700.000000,47700.000000,280566
2021-06-11,47350.000000,47850.000000,47250.000000,47300.000000,47300.000000,272493
2021-06-14,47300.000000,47500.000000,46650.000000,46900.000000,46900.000000,212926
2021-06-15,46900.000000,47350.000000,46700.000000,47000.000000,47000.000000,224119
2021-06-16,47700.000000,48600.000000,47450.000000,47600.000000,47600.000000,367429
2021-06-17,47650.000000,48000.000000,47350.000000,47550.000000,47550.000000,190350
2021-06-18,47400.000000,47450.000000,46350.000000,46350.000000,46350.000000,417367
2021-06-21,46000.000000,46400.000000,45550.000000,46150.000000,46150.000000,330559
2021-06-22,46600.000000,46950.000000,46200.000000,46450.000000,46450.000000,214350
2021-06-23,46500.000000,46550.000000,45500.000000,45600.000000,45600.000000,278092
2021-06-24,45800.000000,45900.000000,45250.000000,45900.000000,45900.000000,206398
2021-06-25,46050.000000,47050.000000,46050.000000,46900.000000,46900.000000,294889
2021-06-28,46850.000000,47100.000000,46400.000000,47100.000000,47100.000000,194469
2021-06-29,47300.000000,47300.000000,45750.000000,46300.000000,46300.000000,355716
2021-06-30,46350.000000,46600.000000,46000.000000,46250.000000,46250.000000,216316
2021-07-01,46500.000000,47200.000000,45950.000000,46250.000000,46250.000000,348611
2021-07-02,46850.000000,47400.000000,46350.000000,46850.000000,46850.000000,364420
2021-07-05,47000.000000,47200.000000,46350.000000,46450.000000,46450.000000,183889
2021-07-06,46700.000000,47200.000000,46300.000000,47000.000000,47000.000000,292427
2021-07-07,46250.000000,46350.000000,45600.000000,45750.000000,45750.000000,371470
2021-07-08,45600.000000,45700.000000,44350.000000,44700.000000,44700.000000,471303
2021-07-09,44400.000000,44450.000000,43650.000000,44050.000000,44050.000000,246987
2021-07-12,44550.000000,45050.000000,44350.000000,44450.000000,44450.000000,146031
2021-07-13,44700.000000,45400.000000,44450.000000,45250.000000,45250.000000,138509
2021-07-14,45200.000000,45350.000000,44550.000000,44950.000000,44950.000000,146874
2021-07-15,44800.000000,44800.000000,44450.000000,44500.000000,44500.000000,147401
2021-07-16,44300.000000,44500.000000,44000.000000,44000.000000,44000.000000,189436
2021-07-19,43750.000000,43850.000000,43500.000000,43800.000000,43800.000000,131492
2021-07-20,42700.000000,43550.000000,42700.000000,43400.000000,43400.000000,199538
2021-07-21,43600.000000,43750.000000,42950.000000,43050.000000,43050.000000,130211
2021-07-22,43650.000000,43950.000000,43300.000000,43750.000000,43750.000000,180979
2021-07-23,43750.000000,44050.000000,43550.000000,43750.000000,43750.000000,105893
2021-07-26,43750.000000,43750.000000,43150.000000,43150.000000,43150.000000,114040
2021-07-27,43300.000000,43950.000000,43300.000000,43550.000000,43550.000000,119028
2021-07-28,43850.000000,44150.000000,43400.000000,43750.000000,43750.000000,121986
2021-07-29,43800.000000,44000.000000,43700.000000,43850.000000,43850.000000,89884
2021-07-30,43600.000000,43600.000000,42800.000000,42800.000000,42800.000000,205976
2021-08-02,43200.000000,43300.000000,42500.000000,43050.000000,43050.000000,151121
2021-08-03,42600.000000,43250.000000,42550.000000,43150.000000,43150.000000,151888
2021-08-04,42900.000000,43750.000000,42850.000000,43550.000000,43550.000000,181655
2021-08-05,43250.000000,43500.000000,43050.000000,43400.000000,43400.000000,115089
2021-08-06,43400.000000,43500.000000,43100.000000,43150.000000,43150.000000,105691
2021-08-09,42850.000000,43100.000000,42600.000000,42700.000000,42700.000000,156286
2021-08-10,43100.000000,43250.000000,42300.000000,42400.000000,42400.000000,212447
2021-08-11,42450.000000,42850.000000,42000.000000,42250.000000,42250.000000,312576
2021-08-12,42600.000000,43100.000000,42000.000000,42000.000000,42000.000000,281895
2021-08-13,42300.000000,42600.000000,41450.000000,41850.000000,41850.000000,251031
2021-08-17,41900.000000,42200.000000,41300.000000,41600.000000,41600.000000,222969
2021-08-18,41050.000000,42250.000000,40800.000000,41450.000000,41450.000000,197219
2021-08-19,41050.000000,41300.000000,39950.000000,40100.000000,40100.000000,388544
2021-08-20,40250.000000,40300.000000,39350.000000,39400.000000,39400.000000,220483
2021-08-23,39450.000000,40350.000000,39450.000000,40000.000000,40000.000000,187733
2021-08-24,40650.000000,41300.000000,40400.000000,41150.000000,41150.000000,168417
2021-08-25,41700.000000,41850.000000,41250.000000,41500.000000,41500.000000,176988
2021-08-26,41750.000000,42350.000000,41200.000000,41500.000000,41500.000000,157418
